<--LintFilePartition-->
filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range
/repository/django/contrib/auth/hashers.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",496,[496]
/repository/django/contrib/auth/hashers.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",571,[571]
/repository/django/contrib/gis/serializers/geojson.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,64,[64]
/repository/django/contrib/staticfiles/storage.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",83,[83]
/repository/django/contrib/staticfiles/storage.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",384,[384]
/repository/django/core/cache/backends/filebased.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",122,[122]
/repository/django/core/cache/utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",15,[15]
/repository/django/core/management/commands/shell.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,99,[99]
/repository/django/core/management/commands/shell.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,114,[114]
/repository/django/core/serializers/xml_serializer.py,blacklist,B319,MEDIUM,HIGH,Using xml.dom.pulldom.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.pulldom.parse with its defusedxml equivalent function.,165,[165]
/repository/django/db/backends/base/schema.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",122,[122]
/repository/django/db/backends/base/schema.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",821,[821]
/repository/django/db/backends/utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",188,[188]
/repository/django/db/migrations/questioner.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,121,[121]
/repository/django/test/utils.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,409,[409]
/repository/django/test/utils.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,410,[410]
/repository/django/utils/cache.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",107,[107]
/repository/django/utils/cache.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",284,[284]
/repository/django/utils/cache.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",289,[289]
/repository/django/utils/cache.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, or MD5 hash function.",297,[297]
/repository/django/utils/six.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,699,[699]
/repository/scripts/manage_translations.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",75,"[74, 75]"
/repository/scripts/manage_translations.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",120,"[118, 119, 120]"
/repository/scripts/manage_translations.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",140,[140]
/repository/scripts/manage_translations.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",145,"[144, 145]"
/repository/scripts/manage_translations.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",156,[156]
/repository/scripts/manage_translations.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",157,[157]
/repository/scripts/manage_translations.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,176,[176]
/repository/tests/aggregation_regress/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",746,[746]
/repository/tests/forms_tests/tests/test_fields.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",955,[955]
/repository/tests/forms_tests/tests/test_fields.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",1177,[1177]
/repository/tests/gis_tests/geoapp/test_feeds.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,32,[32]
/repository/tests/gis_tests/geoapp/test_feeds.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,34,[34]
/repository/tests/gis_tests/geoapp/test_feeds.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,57,[57]
/repository/tests/gis_tests/geoapp/test_feeds.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,58,[58]
/repository/tests/gis_tests/geoapp/test_feeds.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,76,[76]
/repository/tests/gis_tests/geoapp/test_sitemaps.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,34,[34]
/repository/tests/gis_tests/geoapp/test_sitemaps.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,49,[49]
/repository/tests/gis_tests/geoapp/test_sitemaps.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,56,[56]
/repository/tests/gis_tests/geos_tests/test_geos.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",1172,[1172]
/repository/tests/httpwrappers/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",245,[245]
/repository/tests/httpwrappers/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",248,[248]
/repository/tests/httpwrappers/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",251,[251]
/repository/tests/httpwrappers/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",784,[784]
/repository/tests/i18n/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",177,[177]
/repository/tests/i18n/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",251,[251]
/repository/tests/migrations/test_writer.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,171,[171]
/repository/tests/model_fields/test_imagefield.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",188,[188]
/repository/tests/model_regress/test_pickle.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",26,[26]
/repository/tests/model_regress/test_pickle.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",45,[45]
/repository/tests/multiple_database/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",1641,[1641]
/repository/tests/queries/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",708,[708]
/repository/tests/queries/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",717,[717]
/repository/tests/queries/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",719,[719]
/repository/tests/queries/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",772,[772]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",20,[20]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",48,[48]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",56,[56]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",64,[64]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",70,[70]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",84,[84]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",94,[94]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",111,[111]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",115,[115]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",129,[129]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",145,[145]
/repository/tests/queryset_pickle/tests.py,blacklist,B301,MEDIUM,HIGH,"Pickle library appears to be in use, possible security issue.",155,[155]
/repository/tests/serializers/test_xml.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,45,[45]
/repository/tests/serializers/test_xml.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,54,[54]
/repository/tests/serializers/test_xml.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,63,[63]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,87,[87]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,163,[163]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,179,[179]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,190,[190]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,210,[210]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,260,[260]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,295,[295]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,305,[305]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,314,[314]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,328,[328]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,338,[338]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,348,[348]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,381,[381]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,395,[395]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,408,[408]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,436,[436]
/repository/tests/syndication_tests/tests.py,blacklist,B318,MEDIUM,HIGH,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function.,448,[448]
