/repository/client/components/lists/categories.js: line 4, col 18, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/categories.js: line 8, col 21, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/categories.js: line 12, col 16, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/categories.js: line 16, col 17, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/categories.js: line 20, col 21, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/categories.js: line 24, col 21, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/categories.js: line 28, col 17, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/categories.js: line 29, col 4, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/friends.js: line 2, col 73, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 3, col 69, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 4, col 76, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 5, col 67, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 6, col 60, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 7, col 74, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 8, col 26, Error - Multiple spaces found before 'username'. (no-multi-spaces)
/repository/client/components/lists/friends.js: line 8, col 63, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 9, col 63, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 10, col 64, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 11, col 59, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 12, col 65, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 13, col 32, Error - A space is required after ','. (comma-spacing)
/repository/client/components/lists/friends.js: line 13, col 65, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 14, col 69, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 15, col 60, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 16, col 62, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 17, col 72, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 18, col 64, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 19, col 63, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 20, col 68, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 21, col 77, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 22, col 67, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 23, col 64, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 24, col 63, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 25, col 66, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 26, col 64, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 27, col 66, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 28, col 63, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 29, col 71, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 30, col 59, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 31, col 64, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 32, col 66, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 33, col 62, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 34, col 65, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 35, col 69, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 36, col 69, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 37, col 67, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 38, col 58, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 39, col 71, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 40, col 68, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 41, col 69, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 42, col 71, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 43, col 67, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 44, col 74, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 45, col 68, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 46, col 74, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 47, col 71, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 48, col 64, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 49, col 68, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/friends.js: line 49, col 69, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 11, col 33, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 12, col 6, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 17, col 19, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 25, col 28, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 28, col 8, Error - Multiple spaces found before '_id'. (no-multi-spaces)
/repository/client/components/lists/mockState.js: line 30, col 1, Error - Line 30 exceeds the maximum line length of 100. (max-len)
/repository/client/components/lists/mockState.js: line 40, col 35, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 41, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 43, col 8, Error - Multiple spaces found before '_id'. (no-multi-spaces)
/repository/client/components/lists/mockState.js: line 45, col 1, Error - Line 45 exceeds the maximum line length of 100. (max-len)
/repository/client/components/lists/mockState.js: line 55, col 35, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 56, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 58, col 8, Error - Multiple spaces found before '_id'. (no-multi-spaces)
/repository/client/components/lists/mockState.js: line 60, col 1, Error - Line 60 exceeds the maximum line length of 100. (max-len)
/repository/client/components/lists/mockState.js: line 68, col 35, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 69, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 71, col 8, Error - Multiple spaces found before '_id'. (no-multi-spaces)
/repository/client/components/lists/mockState.js: line 73, col 1, Error - Line 73 exceeds the maximum line length of 100. (max-len)
/repository/client/components/lists/mockState.js: line 73, col 20, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 79, col 35, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 80, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 81, col 6, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 85, col 11, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 86, col 13, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 88, col 9, Error - A space is required after '{' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 88, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 88, col 46, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 88, col 47, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 91, col 25, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 92, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 92, col 37, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 94, col 12, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 96, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 97, col 15, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 98, col 16, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 99, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 101, col 32, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 110, col 20, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 110, col 83, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 111, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 114, col 11, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 115, col 13, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 117, col 9, Error - A space is required after '{' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 117, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 117, col 46, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 117, col 47, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 120, col 25, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 121, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 121, col 36, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 123, col 12, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 125, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 126, col 15, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 127, col 16, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 128, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 130, col 33, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 139, col 22, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 139, col 72, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 140, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 143, col 11, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 146, col 9, Error - A space is required after '{' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 146, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 146, col 47, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 146, col 48, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 149, col 25, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 150, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 150, col 36, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 152, col 12, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 154, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 155, col 15, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 156, col 16, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 157, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 159, col 33, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 164, col 21, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 168, col 22, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 168, col 49, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 169, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 172, col 11, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 173, col 13, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 175, col 9, Error - A space is required after '{' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 175, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 175, col 47, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 175, col 48, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 178, col 25, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 179, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 179, col 36, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 181, col 12, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 183, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 184, col 15, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 185, col 16, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 186, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 188, col 33, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 193, col 22, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 197, col 20, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 197, col 83, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 198, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 201, col 11, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 202, col 13, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 204, col 9, Error - A space is required after '{' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 204, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 204, col 47, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 204, col 48, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 207, col 25, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 207, col 41, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 209, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 211, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 212, col 15, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 213, col 16, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 214, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 216, col 33, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 221, col 21, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 222, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 225, col 11, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 228, col 9, Error - A space is required after '{' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 228, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 228, col 46, Error - A space is required before '}' (object-curly-spacing)
/repository/client/components/lists/mockState.js: line 228, col 47, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 231, col 25, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 232, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 233, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 233, col 36, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 235, col 12, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 237, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 238, col 15, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 239, col 16, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 240, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 242, col 33, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 247, col 22, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 251, col 20, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 251, col 83, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 252, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 253, col 6, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 256, col 5, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 257, col 13, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 259, col 17, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 259, col 75, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 264, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 264, col 25, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 266, col 12, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 269, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 270, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 270, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 270, col 58, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 270, col 59, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 272, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 273, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 273, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 273, col 58, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 273, col 59, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 275, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 276, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 276, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 276, col 59, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 276, col 60, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 278, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 279, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 279, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 279, col 59, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 279, col 60, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 280, col 12, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 281, col 10, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 282, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 284, col 5, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 285, col 13, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 287, col 17, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 287, col 76, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 292, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 292, col 28, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 294, col 12, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 297, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 298, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 298, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 298, col 55, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 298, col 56, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 299, col 12, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 300, col 10, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 301, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 303, col 5, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 304, col 13, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 306, col 17, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 306, col 67, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 311, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 311, col 25, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 313, col 12, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 316, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 317, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 317, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 317, col 55, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 317, col 56, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 318, col 12, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 319, col 10, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 320, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 322, col 5, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 325, col 17, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 325, col 76, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 330, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 330, col 25, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 332, col 12, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 335, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 336, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 336, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 336, col 55, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 336, col 56, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 338, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 339, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 339, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 339, col 55, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 339, col 56, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 340, col 12, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 341, col 10, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 342, col 8, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 344, col 5, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 345, col 13, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 347, col 17, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 347, col 74, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 352, col 18, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 352, col 25, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 354, col 21, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 357, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 358, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 358, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 358, col 58, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 358, col 59, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 360, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 361, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 361, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 361, col 58, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 361, col 59, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 363, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 364, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 364, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 364, col 55, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 364, col 56, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 366, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 367, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 367, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 367, col 58, Error - There should be no space before ']' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 367, col 59, Error - Missing trailing comma. (comma-dangle)
/repository/client/components/lists/mockState.js: line 369, col 19, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 370, col 19, Error - There should be no space after '[' (array-bracket-spacing)
/repository/client/components/lists/mockState.js: line 370, col 37, Error - Strings must use singlequote. (quotes)
/repository/client/components/lists/mockState.js: line 370, col 42, Error - There should be no space before ']' (array-bracket-spacing)
